id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
17360301,2010,6,3,4155.0,3,1,1978,7,1,1.0,,2.0
17610501,2009,5,3,2364.0,2,1,1979,5,1,2.0,,2.0
17850101,2009,5,3,879.0,1,2,1963,5,2,1.0,,2.0
17860101,2006,2,3,1735.0,2,2,1978,5,3,1.0,,2.0
18270101,2006,2,3,4807.0,2,1,1956,5,1,1.0,,2.0
18730101,2007,3,4,284.0,1,2,1934,2,2,2.0,,1.0
19120101,2009,5,4,561.0,3,1,1980,7,5,1.0,,1.0
19550101,2015,11,4,2373.0,1,2,1945,4,2,2.0,,2.0
19710101,2009,5,4,473.0,3,1,1936,3,1,2.0,,1.0
19770101,2013,9,4,6972.0,4,1,1971,5,1,2.0,,2.0
19940101,2006,2,4,2890.0,3,1,1961,5,1,1.0,,2.0
20220101,2008,4,4,2555.0,2,1,1934,2,1,1.0,,2.0
20760101,2008,4,4,1630.0,2,2,1962,7,4,1.0,,2.0
20760101,2016,12,4,4444.0,3,2,1962,7,3,1.0,,2.0
21240501,2013,9,4,1490.0,2,2,1938,3,1,2.0,,2.0
21380101,2015,11,4,987.0,1,2,1971,5,5,1.0,,1.0
21890501,2009,5,4,6288.0,2,1,1978,7,1,2.0,,2.0
22090601,2012,8,4,4020.0,2,2,1979,6,5,1.0,,1.0
22300101,2006,2,4,804.0,1,1,1942,5,4,1.0,,2.0
22870101,2011,7,3,568.0,1,2,1936,2,2,1.0,,2.0
23790101,2016,12,3,2976.0,3,2,1958,5,3,2.0,,2.0
23861101,2017,13,6,4487.0,2,1,1985,7,1,2.0,,2.0
24540101,2017,13,3,2843.0,1,2,1951,4,3,1.0,,2.0
24651201,2016,12,7,5400.0,2,1,1989,7,1,1.0,,2.0
24720101,2011,7,3,5682.0,3,1,1960,7,1,1.0,,2.0
24860101,2011,7,3,4755.0,4,1,1959,5,1,2.0,,2.0
24920101,2011,7,3,2233.0,4,1,1967,5,1,2.0,,2.0
25030101,2010,6,7,4432.0,1,1,1981,9,3,2.0,,2.0
25900101,2014,10,6,1322.0,2,1,1947,4,1,2.0,,2.0
26340101,2008,4,6,3006.0,4,1,1974,5,1,1.0,,2.0
27570101,2016,12,7,6915.0,4,2,1980,7,3,1.0,,2.0
27900101,2012,8,5,4615.0,2,1,1937,7,2,1.0,,2.0
27950101,2010,6,7,3014.0,4,1,1955,7,1,1.0,,2.0
28040801,2013,9,7,3412.0,1,2,1982,7,5,1.0,,1.0
28210101,2009,5,7,877.0,2,1,1942,5,1,1.0,,1.0
28820101,2017,13,7,1626.0,1,2,1942,4,2,1.0,,2.0
29020701,2012,8,5,3559.0,1,2,1985,7,5,2.0,,2.0
29380101,2012,8,5,714.0,1,2,1925,2,2,1.0,,1.0
29420101,2009,5,5,1516.0,2,2,1928,2,2,1.0,,1.0
29490101,2015,11,5,4797.0,2,2,1970,5,4,2.0,,1.0
29580101,2015,11,5,503.0,1,2,1969,3,2,2.0,,1.0
29970101,2008,4,5,11523.0,4,1,1952,8,1,1.0,,2.0
30350101,2008,4,5,5029.0,2,1,1976,7,1,2.0,,2.0
30520101,2009,5,5,849.0,1,2,1943,3,2,2.0,,2.0
31080101,2016,12,5,1657.0,2,1,1952,4,1,2.0,,2.0
31150101,2006,2,5,900.0,2,1,1948,5,3,2.0,,1.0
31170101,2009,5,5,3600.0,4,1,1973,5,1,1.0,,1.0
31580101,2009,5,3,417.0,3,1,1974,5,1,2.0,,1.0
31620101,2015,11,3,4500.0,4,1,1949,4,1,2.0,,1.0
31970101,2009,5,3,732.0,1,1,1934,3,3,2.0,,1.0
32640901,2016,12,5,8358.0,2,1,1986,7,1,2.0,,2.0
32670101,2007,3,3,5574.0,4,1,1969,7,1,1.0,,2.0
33480101,2009,5,5,1717.0,2,2,1962,5,2,1.0,,2.0
33870101,2010,6,3,7331.0,4,1,1952,5,1,1.0,,2.0
34300601,2017,13,7,5841.0,2,1,1957,5,1,2.0,,2.0
34630101,2010,6,3,4162.0,2,1,1944,5,1,1.0,,2.0
35030101,2011,7,6,1274.0,2,1,1955,4,1,2.0,,2.0
35540101,2010,6,7,2870.0,3,1,1975,5,1,2.0,,2.0
35820101,2009,5,3,534.0,1,2,1934,3,2,2.0,,2.0
35830101,2013,9,6,8503.0,1,2,1971,8,5,2.0,,2.0
35900101,2007,3,7,2127.0,2,1,1977,5,1,1.0,,2.0
36500101,2009,5,5,5187.0,5,1,1973,7,1,2.0,,1.0
36820101,2017,13,7,11177.0,4,1,1963,4,1,2.0,,2.0
37260101,2013,9,6,419.0,1,2,1936,2,2,1.0,,1.0
37440101,2009,5,5,377.0,1,2,1929,2,2,2.0,,2.0
37510101,2010,6,3,3288.0,2,1,1960,5,1,2.0,,2.0
37640101,2016,12,5,2973.0,2,1,1937,5,1,1.0,,2.0
37660401,2008,4,5,4308.0,1,1,1981,7,5,2.0,,2.0
37890101,2017,13,5,11143.0,1,1,1960,5,3,1.0,,2.0
37960101,2011,7,5,11944.0,3,1,1971,7,1,2.0,,2.0
38230101,2010,6,3,6072.0,4,1,1956,5,1,2.0,,2.0
38810101,2014,10,6,3716.0,4,1,1965,5,5,2.0,,2.0
39090101,2014,10,5,1519.0,2,1,1941,5,1,1.0,,2.0
